movieId,title,year,genres
1,"Yards, The (2000)",2000,Crime|Drama
2,Next Friday (2000),2000,Comedy
3,Supernova (2000),2000,Adventure|Sci-Fi|Thriller
4,Down to You (2000),2000,Comedy|Romance
5,Scream 3 (2000),2000,Comedy|Horror|Mystery|Thriller
6,"Boondock Saints, The (2000)",2000,Action|Crime|Drama|Thriller
7,Gun Shy (2000),2000,Comedy
8,"Beach, The (2000)",2000,Adventure|Drama
9,Snow Day (2000),2000,Comedy
10,"Tigger Movie, The (2000)",2000,Animation|Children
11,Boiler Room (2000),2000,Crime|Drama|Thriller
12,Hanging Up (2000),2000,Comedy|Drama
13,Pitch Black (2000),2000,Horror|Sci-Fi|Thriller
14,"Whole Nine Yards, The (2000)",2000,Comedy|Crime
15,Black Tar Heroin: The Dark End of the Street (2000),2000,Documentary
16,Reindeer Games (2000),2000,Action|Thriller
17,Wonder Boys (2000),2000,Comedy|Drama
18,Chain of Fools (2000),2000,Comedy|Crime
19,Drowning Mona (2000),2000,Comedy
20,"Next Best Thing, The (2000)",2000,Comedy|Drama
21,What Planet Are You From? (2000),2000,Comedy|Sci-Fi
22,"Closer You Get, The (2000)",2000,Comedy|Romance
23,Mission to Mars (2000),2000,Sci-Fi
24,Erin Brockovich (2000),2000,Drama
25,Final Destination (2000),2000,Drama|Thriller
26,Romeo Must Die (2000),2000,Action|Crime|Romance|Thriller
27,Here on Earth (2000),2000,Drama|Romance
28,Whatever It Takes (2000),2000,Comedy|Romance
29,High Fidelity (2000),2000,Comedy|Drama|Romance
30,"Road to El Dorado, The (2000)",2000,Animation|Children
31,"Skulls, The (2000)",2000,Thriller
32,Frequency (2000),2000,Drama|Thriller
33,Ready to Rumble (2000),2000,Comedy
34,Return to Me (2000),2000,Drama|Romance
35,Rules of Engagement (2000),2000,Drama|Thriller
36,Joe Gould's Secret (2000),2000,Drama
37,Me Myself I (2000),2000,Comedy|Romance
38,28 Days (2000),2000,Drama
39,American Psycho (2000),2000,Crime|Horror|Mystery|Thriller
40,Keeping the Faith (2000),2000,Comedy|Drama|Romance
41,Where the Money Is (2000),2000,Comedy|Drama
42,"Filth and the Fury, The (2000)",2000,Documentary
